basin_id,stations_num_swr_mean,stations_dens_swr_mean,stations_num_sp_mean,stations_dens_sp_mean,stations_num_t_mean,stations_dens_t_mean,stations_num_t_max,stations_dens_t_max,stations_num_ws_mean,stations_dens_ws_mean,stations_num_p_mean,stations_dens_p_mean,stations_num_t_min,stations_dens_t_min,stations_num_rh_mean,stations_dens_rh_mean
AT000001,15.0,0.003,8.0,0.002,23.0,0.005,28.0,0.006,22.0,0.005,22.0,0.005,28.0,0.006,17.0,0.004
AT000002,8.0,0.078,8.0,0.078,13.0,0.127,13.0,0.127,14.0,0.137,14.0,0.137,13.0,0.127,13.0,0.127
AT000003,9.0,0.017,9.0,0.017,18.0,0.034,18.0,0.034,18.0,0.034,18.0,0.034,18.0,0.034,18.0,0.034
AT000004,4.0,0.06,4.0,0.06,8.0,0.121,8.0,0.121,8.0,0.121,7.0,0.106,8.0,0.121,8.0,0.121
AT000005,4.0,0.055,5.0,0.069,10.0,0.138,10.0,0.138,10.0,0.138,10.0,0.138,10.0,0.138,10.0,0.138
AT000006,7.0,0.073,7.0,0.073,14.0,0.147,14.0,0.147,15.0,0.157,15.0,0.157,14.0,0.147,14.0,0.147
AT000007,22.0,0.019,23.0,0.02,38.0,0.033,41.0,0.036,38.0,0.033,40.0,0.035,41.0,0.036,38.0,0.033
AT000008,5.0,0.072,6.0,0.087,6.0,0.087,9.0,0.13,4.0,0.058,8.0,0.115,9.0,0.13,6.0,0.087
AT000009,22.0,0.017,23.0,0.018,38.0,0.03,41.0,0.032,38.0,0.03,40.0,0.031,41.0,0.032,38.0,0.03
AT000010,5.0,0.15,6.0,0.18,10.0,0.3,11.0,0.33,9.0,0.27,11.0,0.33,11.0,0.33,10.0,0.3
AT000011,5.0,0.196,6.0,0.236,7.0,0.275,8.0,0.314,6.0,0.236,8.0,0.314,8.0,0.314,7.0,0.275
AT000012,5.0,0.14,6.0,0.168,7.0,0.196,8.0,0.224,6.0,0.168,8.0,0.224,8.0,0.224,7.0,0.196
AT000013,36.0,0.006,29.0,0.005,58.0,0.009,64.0,0.01,61.0,0.01,59.0,0.009,64.0,0.01,52.0,0.008
AT000014,4.0,0.076,4.0,0.076,5.0,0.094,5.0,0.094,6.0,0.113,6.0,0.113,5.0,0.094,5.0,0.094
AT000015,6.0,0.341,7.0,0.398,11.0,0.625,12.0,0.682,11.0,0.625,13.0,0.739,12.0,0.682,11.0,0.625
AT000016,9.0,0.077,10.0,0.086,15.0,0.129,16.0,0.137,16.0,0.137,17.0,0.146,16.0,0.137,15.0,0.129
AT000017,3.0,0.364,3.0,0.364,4.0,0.485,4.0,0.485,5.0,0.607,5.0,0.607,4.0,0.485,4.0,0.485
AT000018,10.0,0.131,11.0,0.144,13.0,0.17,15.0,0.196,14.0,0.183,15.0,0.196,15.0,0.196,13.0,0.17
AT000019,12.0,0.062,13.0,0.067,18.0,0.092,20.0,0.103,20.0,0.103,21.0,0.108,20.0,0.103,18.0,0.092
AT000020,7.0,0.172,5.0,0.123,10.0,0.246,10.0,0.246,11.0,0.27,10.0,0.246,10.0,0.246,10.0,0.246
AT000021,7.0,0.047,5.0,0.034,10.0,0.068,10.0,0.068,11.0,0.075,10.0,0.068,10.0,0.068,10.0,0.068
AT000022,9.0,0.04,7.0,0.031,14.0,0.062,14.0,0.062,14.0,0.062,14.0,0.062,14.0,0.062,14.0,0.062
AT000023,2.0,0.142,2.0,0.142,6.0,0.427,6.0,0.427,4.0,0.285,6.0,0.427,6.0,0.427,6.0,0.427
AT000024,6.0,0.193,4.0,0.128,11.0,0.353,11.0,0.353,9.0,0.289,13.0,0.417,11.0,0.353,11.0,0.353
AT000025,1.0,0.071,1.0,0.071,4.0,0.284,4.0,0.284,3.0,0.213,11.0,0.782,4.0,0.284,4.0,0.284
AT000026,3.0,0.038,3.0,0.038,6.0,0.076,6.0,0.076,5.0,0.063,14.0,0.177,6.0,0.076,6.0,0.076
AT000027,3.0,0.015,3.0,0.015,7.0,0.035,7.0,0.035,5.0,0.025,22.0,0.109,7.0,0.035,7.0,0.035
AT000028,6.0,0.071,6.0,0.071,12.0,0.143,13.0,0.155,10.0,0.119,23.0,0.273,13.0,0.155,12.0,0.143
AT000029,17.0,0.021,15.0,0.018,27.0,0.033,28.0,0.034,27.0,0.033,47.0,0.057,28.0,0.034,27.0,0.033
AT000030,7.0,1.028,7.0,1.028,10.0,1.469,11.0,1.616,10.0,1.469,14.0,2.056,11.0,1.616,10.0,1.469
AT000032,7.0,0.067,7.0,0.067,10.0,0.095,11.0,0.105,10.0,0.095,21.0,0.2,11.0,0.105,10.0,0.095
AT000033,7.0,0.275,7.0,0.275,12.0,0.472,12.0,0.472,13.0,0.511,12.0,0.472,12.0,0.472,12.0,0.472
AT000034,9.0,0.107,9.0,0.107,15.0,0.178,15.0,0.178,16.0,0.19,15.0,0.178,15.0,0.178,15.0,0.178
AT000035,13.0,0.052,11.0,0.044,21.0,0.085,21.0,0.085,22.0,0.089,23.0,0.093,21.0,0.085,21.0,0.085
AT000036,3.0,0.047,3.0,0.047,5.0,0.078,5.0,0.078,5.0,0.078,8.0,0.124,5.0,0.078,5.0,0.078
AT000037,2.0,0.03,2.0,0.03,4.0,0.06,4.0,0.06,4.0,0.06,4.0,0.06,4.0,0.06,4.0,0.06
AT000038,22.0,0.022,21.0,0.021,35.0,0.035,36.0,0.036,36.0,0.036,45.0,0.044,36.0,0.036,35.0,0.035
