provider_id,code_basins,provider_country,country_code,provider_name,license_redistribution,platform,num_stations,start_date,end_date,website,source_license,source_streamflow,source_gauges_infos,references,observations
AT_EHYD,AT,AUSTRIA,AT,Hydrographische Archivdaten Österreichs (eHYD),-,Website,,,,https://ehyd.gv.at/,https://ehyd.gv.at/,https://ehyd.gv.at/,https://zenodo.org/record/5153305#.ZDUeaOZBwuU,"BML. Federal Ministry of Agriculture, Forestry, Regions and Water Management: WebGIS-Applikation eHYD, Wien, Austria, https://ehyd.gv.at (last access: 05 May 2023).",
BA_FHMZ,BA,Bosnia and Herzegovina,BO,Federalni hidrometeorološki zavod (FHMZ),-,Website,,,,https://www.fhmzbih.gov.ba/latinica/index.php,-,https://www.fhmzbih.gov.ba/latinica/HIDRO/godisnjaci.php,https://www.fhmzbih.gov.ba/latinica/HIDRO/godisnjaci.php,"FHMZBIH. Federalni hidrometeorološki zavod: Početna: idrologija: hidrološki godišnjaci, Bosnia. https://www.fhmzbih.gov.ba/latinica/HIDRO/godisnjaci.php (last access: 29 June 2023).",
BE_SPW,BEWA,BELGIUM,BE,Service public de Wallonie (SPW),No-redistribution,Website,,,,https://hydrometrie.wallonie.be/home.html,https://hydrometrie.wallonie.be/mentions-legales.html,https://hydrometrie.wallonie.be/home/observations/debit.html?mode=announcement,https://hydrometrie.wallonie.be/home/observations/debit.html?mode=announcement,"SPW. Service public de Wallonie: L’hydrométrie en Wallonie: Observations: Debit, Belgium. https://hydrometrie.wallonie.be/home/observations/debit.html?mode=announcement (last access: 07 Dec 2023).",
BE_WATERINFO,BEVL,BELGIUM,BE,Vlaanderen waterinfo ,Reproduction allowed,Website,,,,https://www.vlaanderen.be,https://www.waterinfo.be/default.aspx?path=NL/Algemene_Info/Disclaimer,https://www.waterinfo.be/kaartencatalogus?KL=en,https://www.waterinfo.be/kaartencatalogus?KL=en,"VW. Vlaanderen waterinfo, Belgium. https://www.waterinfo.be/kaartencatalogus?KL=en (last access: 07 Dec 2023).",
BG_GRDC,BGGR,BULGARIA,BG,Global Runoff Data Center (GRDC),No-redistribution,Website,,,,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN/01_GRDC/12_plcy/data_policy.html?nn=2862854,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN,"GRDC. Global Runoff Data Center: River discharge data. Federal Institute of Hydrology, 56068 Koblenz, Germany. https://www.bafg.de/GRDC (last access: 16 Feb 2024).",
BY_GRDC,BYGR,BELARUS,BY,Global Runoff Data Center (GRDC),No-redistribution,Website,,,,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN/01_GRDC/12_plcy/data_policy.html?nn=2862854,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN,"GRDC. Global Runoff Data Center: River discharge data. Federal Institute of Hydrology, 56068 Koblenz, Germany. https://www.bafg.de/GRDC (last access: 16 Feb 2024).",
CH_CAMELS,CH,SWITZERLAND,CH,Catchment Attributes and MEteorology for large-sample Studies - Switzerland (CAMELS-CH),CC-BY-4.0,Website,,,,https://zenodo.org/doi/10.5281/zenodo.7784632,https://zenodo.org/doi/10.5281/zenodo.7784632,https://zenodo.org/doi/10.5281/zenodo.7784632,https://zenodo.org/doi/10.5281/zenodo.7784632,"Höge, M. et al. CAMELS-CH: hydro-meteorological time series and landscape attributes for 331 catchments in hydrologic Switzerland. Earth Syst Sci Data 15, 5755–5784 (2023); BAFU. Federal Office for the Environment, Switzerland. https://www.bafu.admin.ch/bafu/en/home.html (last access: 15 May 2023).",
CY_GRDC,CYGR,CYPRUS,CY,Global Runoff Data Center (GRDC),No-redistribution,Website,,,,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN/01_GRDC/12_plcy/data_policy.html?nn=2862854,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN,"GRDC. Global Runoff Data Center: River discharge data. Federal Institute of Hydrology, 56068 Koblenz, Germany. https://www.bafg.de/GRDC (last access: 16 Feb 2024).",
CZ_CHMU,CZ,CZECHIA,CZ,Český hydrometeorologický ústav (CHMU),CC BY-NC-ND 3.0,Website,,,,https://isvs.chmi.cz,https://www.chmi.cz/podminky-uziti; https://creativecommons.org/licenses/by-nc-nd/3.0/cz/,https://isvs.chmi.cz/ords/f?p=11002:HOME:5026647009329:::::,https://isvs.chmi.cz/ords/f?p=11002:HOME:5026647009329:::::,CHMI. Czech Hydrometeorological Institute: ISVS - Evidence množství povrchových vod. https://isvs.chmi.cz/ords/f?p=11002:HOME:5026647009329::::: (last access: 10 Jul 2023).,
CZ_GRDC,CZGR,CZECHIA,CZ,Global Runoff Data Center (GRDC),No-redistribution,Website,,,,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN/01_GRDC/12_plcy/data_policy.html?nn=2862854,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN,"GRDC. Global Runoff Data Center: River discharge data. Federal Institute of Hydrology, 56068 Koblenz, Germany. https://www.bafg.de/GRDC (last access: 16 Feb 2024).",
